,velikost,lokace
0,1+kk,praha-vysocany-novovysocanska
4,2+kk,prachatice-prachatice-ii-zlata-stezka
7,2+1,praha-vokovice-jemenska
11,4+1,teplice-prosetice-proseticka
14,4+1,ceske-budejovice-ceske-budejovice-2-k--chocholy
18,3+kk,praha-karlin-breitfeldova
21,1+kk,praha-kosire-naskove
25,4+kk,praha-liben-pivovarnicka
28,3+kk,praha-zizkov-taboritska
32,1+1,nupaky--
35,4+kk,unhost-unhost-karla-capka
39,2+1,praha-zizkov-konevova--hartigova-
42,3+kk,lesany--
46,1+kk,praha-liben-pivovarnicka
49,1+1,praha-vinohrady-rubesova
53,3+1,praha-stodulky-bronzova
56,2+1,praha-modrany-k-otocce
60,4+1,praha-vinohrady-korunni
63,3+1,praha-cerny-most-generala-janouska
67,4+1,praha-vinohrady-rejskova
70,1+1,mlada-boleslav-mlada-boleslav-iii-zaluzanska
74,1+kk,teplice-trnovany-krusnohorska
77,3+kk,kladno-krocehlavy-
81,4+kk,kladno-krocehlavy-
84,3+kk,kladno-krocehlavy-
88,3+kk,praha-jinonice-reporyjska
91,2+kk,kladno-krocehlavy-
95,1+kk,praha-mala-strana-mostecka
98,4+kk,kladno-krocehlavy-
102,2+kk,praha-jinonice-reporyjska
105,2+kk,praha-jinonice-reporyjska
109,3+kk,praha-jinonice-reporyjska
112,3+1,praha-chodov-benkova
116,2+kk,praha-holesovice-jatecni
119,3+kk,praha-vysocany-prokopka
123,2+kk,praha-liben-na-zertvach
126,4+1,ostrava-hrabuvka-krakovska
130,3+1,novy-bydzov-novy-bydzov-husova-trida
133,3+1,praha-stodulky-neustupneho
137,4+1,kladno-vrapice-vrapicka
140,1+1,zatec-zatec-lipova
144,3+kk,praha-letnany-nepomuckych
147,3+kk,ostrava-zabreh-jugoslavska
151,4+kk,praha-vysocany-pechmanovych
154,3+kk,praha-uhrineves-karla-guta
158,2+kk,praha-zizkov-sudomerska
161,2+kk,praha-zizkov-krasova
165,4+kk,praha-kbely-polaneckeho
168,1+kk,plzen-skvrnany-vojanova
170,3+kk,praha-kbely-polaneckeho
174,3+kk,praha-nove-mesto-podskalska
177,2+kk,plzen-skvrnany-vojanova
179,4+kk,cvikov-cvikov-ii-zitavska
183,atypicky,brno-zabrdovice-francouzska
186,2+kk,kladno-krocehlavy-generala-selnera
189,1+1,kladno-krocehlavy-danska
193,3+kk,brno-zabrdovice-francouzska
195,1+kk,brno-stare-brno-nove-sady
199,1+kk,brno-zabrdovice-francouzska
201,4+kk,bucovice-marefy-
205,2+kk,praha-michle-dekanska
208,3+1,detrichov-detrichov-
211,2+kk,bucovice-marefy-
215,2+kk,horovice-horovice-u-knizeci-cesty
218,3+kk,horovice-horovice-u-knizeci-cesty
221,3+kk,horovice-horovice-u-knizeci-cesty
224,3+kk,praha-vysocany-kolbenova
226,3+kk,praha-vysocany-kolbenova
229,3+1,sadska-sadska-rasinova
232,2+kk,kladno-krocehlavy-generala-selnera
236,3+1,praha-kamyk-otradovicka
239,3+kk,praha-bubenec-na-vysinach
243,1+kk,praha-dejvice-studentska
246,2+1,karlovy-vary-karlovy-vary-foersterova
250,1+1,karlovy-vary-karlovy-vary-foersterova
253,1+1,karlovy-vary-karlovy-vary-foersterova
257,3+1,kostelec-u-holesova-kostelec-u-holesova-
260,4+kk,praha-kbely-polaneckeho
264,3+1,praha-malesice-niederleho
267,2+1,praha-zizkov-krizkovskeho
271,3+kk,praha-sobin-zeleticka
275,3+kk,brno-veveri-uvoz
278,2+kk,hradec-kralove-prazske-predmesti-gocarova-trida
282,3+1,brno-zidenice-prusanecka
285,2+kk,brno-zabrdovice-prikop
289,1+kk,praha-smichov-radlicka
292,3+1,praha-repy-vondrousova
296,2+1,most-most-obrancu-miru
